time,x,y,S1,S2,S3,S4
0.0,0.2,0.3,0.225697,-0.240028,0.161665,-0.045914
0.0,0.3,0.3,0.246468,-0.19167,0.079733,0.089667
0.0,0.4,0.3,0.281423,-0.155266,0.00366,0.228573
0.0,0.5,0.3,0.287279,-0.125483,-0.041631,0.298845
0.0,0.6,0.3,0.239747,-0.098799,-0.042881,0.261152
0.0,0.7,0.3,0.160498,-0.075189,-0.016273,0.156871
0.0,0.8,0.3,0.09003,-0.056215,0.010163,0.060137
0.0,0.9,0.3,0.047684,-0.042278,0.022566,0.007037
0.0,1.0,0.3,0.027957,-0.032311,0.023569,-0.010805
0.0,0.0,0.4,0.294788,-0.39056,0.31704,-0.212883
0.0,0.1,0.4,0.251777,-0.305655,0.232415,-0.126415
0.0,0.2,0.4,0.255762,-0.242042,0.142028,0.007427
0.0,0.3,0.4,0.311507,-0.196026,0.037255,0.205057
0.0,0.4,0.4,0.384755,-0.162188,-0.063827,0.411901
0.0,0.5,0.4,0.407854,-0.13356,-0.120379,0.512764
0.0,0.6,0.4,0.343079,-0.105721,-0.110368,0.444479
0.0,0.7,0.4,0.225536,-0.079545,-0.05875,0.27226
0.0,0.8,0.4,0.120096,-0.058229,-0.009473,0.113478
0.0,0.9,0.4,0.057891,-0.042961,0.015899,0.025147
0.0,1.0,0.4,0.030502,-0.032481,0.021907,-0.006289
0.0,0.0,0.5,0.295934,-0.390637,0.316292,-0.210849
0.0,0.1,0.5,0.256373,-0.305963,0.229413,-0.11826
0.0,0.2,0.5,0.2693,-0.242949,0.133187,0.031445
0.0,0.3,0.5,0.340792,-0.197988,0.018129,0.257014
0.0,0.4,0.5,0.431283,-0.165304,-0.094215,0.494449
0.0,0.5,0.5,0.462145,-0.137197,-0.155838,0.609086
0.0,0.6,0.5,0.389607,-0.108838,-0.140756,0.527027
0.0,0.7,0.5,0.254822,-0.081507,-0.077877,0.324217
0.0,0.8,0.5,0.133634,-0.059136,-0.018315,0.137496
0.0,0.9,0.5,0.062487,-0.043269,0.012897,0.033301
0.0,1.0,0.5,0.031648,-0.032558,0.021158,-0.004256
0.0,0.0,0.6,0.294788,-0.39056,0.31704,-0.212883
0.0,0.1,0.6,0.251777,-0.305655,0.232415,-0.126415
0.0,0.2,0.6,0.255762,-0.242042,0.142028,0.007427
0.0,0.3,0.6,0.311507,-0.196026,0.037255,0.205057
0.0,0.4,0.6,0.384755,-0.162188,-0.063827,0.411901
0.0,0.5,0.6,0.407854,-0.13356,-0.120379,0.512764
0.0,0.6,0.6,0.343079,-0.105721,-0.110368,0.444479
0.0,0.7,0.6,0.225536,-0.079545,-0.05875,0.27226
0.0,0.8,0.6,0.120096,-0.058229,-0.009473,0.113478
0.0,0.9,0.6,0.057891,-0.042961,0.015899,0.025147
0.0,1.0,0.6,0.030502,-0.032481,0.021907,-0.006289
0.0,0.0,0.7,0.292243,-0.390389,0.318702,-0.217398
0.0,0.1,0.7,0.241569,-0.304971,0.239082,-0.144525
0.0,0.2,0.7,0.225697,-0.240028,0.161665,-0.045914
0.0,0.3,0.7,0.246468,-0.19167,0.079733,0.089667
0.0,0.4,0.7,0.281423,-0.155266,0.00366,0.228573
0.0,0.5,0.7,0.287279,-0.125483,-0.041631,0.298845
0.0,0.6,0.7,0.239747,-0.098799,-0.042881,0.261152
0.0,0.7,0.7,0.160498,-0.075189,-0.016273,0.156871
0.0,0.8,0.7,0.09003,-0.056215,0.010163,0.060137
0.0,0.9,0.7,0.047684,-0.042278,0.022566,0.007037
0.0,1.0,0.7,0.027957,-0.032311,0.023569,-0.010805
0.0,0.0,0.8,0.289918,-0.390234,0.320221,-0.221523
0.0,0.1,0.8,0.232247,-0.304347,0.24517,-0.161064
0.0,0.2,0.8,0.198238,-0.238189,0.179598,-0.094631
0.0,0.3,0.8,0.187068,-0.187691,0.118527,-0.015718
0.0,0.4,0.8,0.18705,-0.148944,0.065296,0.06114
0.0,0.5,0.8,0.177158,-0.118107,0.03029,0.103473
0.0,0.6,0.8,0.145374,-0.092478,0.018755,0.093718
0.0,0.7,0.8,0.101098,-0.07121,0.022522,0.051486
0.0,0.8,0.8,0.062571,-0.054376,0.028097,0.011421
0.0,0.9,0.8,0.038361,-0.041653,0.028654,-0.009503
0.0,1.0,0.8,0.025632,-0.032155,0.025087,-0.014929
0.0,0.0,0.9,0.288599,-0.390145,0.321083,-0.223864
0.0,0.1,0.9,0.226953,-0.303992,0.248628,-0.170456
0.0,0.2,0.9,0.182647,-0.237144,0.189781,-0.122292
0.0,0.3,0.9,0.153341,-0.185431,0.140555,-0.075556
0.0,0.4,0.9,0.133464,-0.145355,0.100293,-0.033929
0.0,0.5,0.9,0.114631,-0.113918,0.071127,-0.00746
0.0,0.6,0.9,0.091788,-0.088888,0.053752,-0.001351
0.0,0.7,0.9,0.06737,-0.068951,0.04455,-0.008352
0.0,0.8,0.9,0.04698,-0.053331,0.03828,-0.016241
0.0,0.9,0.9,0.033068,-0.041298,0.032111,-0.018895
0.0,1.0,0.9,0.024312,-0.032067,0.025949,-0.017271
0.0,0.0,1.0,0.288089,-0.390111,0.321415,-0.224768
0.0,0.1,1.0,0.224911,-0.303856,0.249961,-0.174079
0.0,0.2,1.0,0.176631,-0.236741,0.19371,-0.132965
0.0,0.3,1.0,0.140327,-0.18456,0.149055,-0.098645
0.0,0.4,1.0,0.112788,-0.14397,0.113797,-0.070612
0.0,0.5,1.0,0.090505,-0.112302,0.086884,-0.050264
0.0,0.6,1.0,0.071112,-0.087503,0.067256,-0.038034
0.0,0.7,1.0,0.054356,-0.068079,0.053049,-0.031441
0.0,0.8,1.0,0.040964,-0.052928,0.042209,-0.026914
0.0,0.9,1.0,0.031025,-0.041162,0.033445,-0.022518
0.0,1.0,1.0,0.023803,-0.032033,0.026282,-0.018175
0.08,0.0,0.0,0.20736986941935973,-0.3372322622084606,0.24437992424964045,-0.21777555325394832
0.08,0.1,0.0,0.16201107802571474,-0.262643461637669,0.19000801287099556,-0.1685946304522207
0.08,0.2,0.0,0.12754868600576402,-0.20456297384682887,0.14713140361713417,-0.12858927437998108
0.08,0.3,0.0,0.10192117269227105,-0.1593456569639997,0.1129919681127884,-0.09504083904930548
0.08,0.4,0.0,0.08264918566566366,-0.12413816214997421,0.085980072628965,-0.067556646586125
0.08,0.5,0.0,0.06685903685299129,-0.09670868135742128,0.06542490444961019,-0.047695200025497105
0.08,0.6,0.0,0.05265563473942893,-0.07532400473680984,0.050591783834561324,-0.03598891962897073
0.08,0.7,0.0,0.0400490514055975,-0.05865103128767294,0.03999212438819727,-0.029921212534412902
0.08,0.8,0.0,0.029911049025266177,-0.045661728852193884,0.03193508829286167,-0.02582746789801411
0.08,0.9,0.0,0.02247412931555449,-0.03555177727648712,0.025376375007186695,-0.021734211979701757
0.08,1.0,0.0,0.01716703350833136,-0.027683744885748072,0.01997050416670295,-0.017589979291693796
0.08,0.0,0.1,0.20784654180670914,-0.3372379769201622,0.24408685950994866,-0.21683540211883331
0.08,0.1,0.1,0.16392008023644156,-0.26266595339276716,0.1888317526898815,-0.16482643020439888
0.08,0.2,0.1,0.13317233839668244,-0.2046311494414204,0.14366442193846055,-0.11748919558326783
0.08,0.3,0.1,0.11408648752219452,-0.15949247131000577,0.10549152399489584,-0.07102800086536723
0.08,0.4,0.1,0.10197676162471452,-0.12437240240278405,0.07406407861065836,-0.029406025893863326
0.08,0.5,0.1,0.08941164750037421,-0.09698192960193584,0.051520842146780946,-0.0031786506421334487
0.08,0.6,0.1,0.0719832106984798,-0.07555824498961967,0.0386757898162547,0.0021617010632909517
0.08,0.7,0.1,0.05221427670015825,-0.05879870808488425,0.03249251199647128,-0.005908509143913566
0.08,0.8,0.1,0.0355347014161846,-0.04572990444678545,0.028468106614188034,-0.014727389101300859
0.08,0.9,0.1,0.024383938227028328,-0.03557424779788125,0.024199201053584994,-0.017965951268189194
0.08,1.0,0.1,0.01764286536887347,-0.027689403156297573,0.019676705971944493,-0.016649911011388543
0.08,0.0,0.2,0.20907958073410274,-0.3372533931418645,0.24332631749650424,-0.2144007296789437
0.08,0.1,0.2,0.16886867201669425,-0.2627262546275085,0.18578037998469718,-0.15505883795359196
0.08,0.2,0.2,0.14774648582924843,-0.2048082859035154,0.13467891221797584,-0.08872155189731558
0.08,0.3,0.2,0.14561384165143923,-0.1598751947975601,0.08605392482671771,-0.008796114824168755
0.08,0.4,0.2,0.1520679578214706,-0.12497916535837067,0.04318241014326698,0.06946667918373142
0.08,0.5,0.2,0.14786066587152663,-0.09769084519109819,0.015485981997402589,0.11219250015963234
0.08,0.6,0.2,0.122074300446843,-0.07616583155898346,0.007794129461252746,0.10103426015188728
0.08,0.7,0.2,0.08374256089157298,-0.059180625562385444,0.013054814557193267,0.056323594545533595
0.08,0.8,0.2,0.05010882145924808,-0.04590704809247929,0.019482585970622877,0.01404107819842856
0.08,0.9,0.2,0.02933172330653399,-0.035634570266326666,0.021148742120888308,-0.008198419481073044
0.08,1.0,0.2,0.018876806968934543,-0.027704020551545548,0.018916054764319748,-0.01421419730947308
0.08,0.0,0.3,0.2112529474266036,-0.3372791236851774,0.24198593748466452,-0.21011073573764757
0.08,0.1,0.3,0.1775828596910955,-0.26283149323994753,0.1804083048784536,-0.13785792710975484
0.08,0.2,0.3,0.17341467642460304,-0.20511913632873666,0.11885464658224797,-0.03805550342520483
0.08,0.3,0.3,0.20113988714895428,-0.16054826301428352,0.051821783427303536,0.10080522513419422
0.08,0.4,0.3,0.24028610725745225,-0.12604869264040552,-0.011205613713368314,0.2435984269733178
0.08,0.5,0.3,0.2507998013605815,-0.09893808503249711,-0.04797763778873928,0.31538115997145755
0.08,0.6,0.3,0.21029252894171502,-0.07723454241084005,-0.046593913430852424,0.27516697754424924
0.08,0.7,0.3,0.1392685894760579,-0.05985365494168075,-0.021178150455998072,0.16592492330833708
0.08,0.8,0.3,0.07577702253107503,-0.046217852496673595,0.0036575076441982815,0.06470629186120264
0.08,0.9,0.3,0.038046600756816984,-0.035740657279865716,0.01577657404524326,0.009003240646793066
0.08,1.0,0.3,0.02105011151557522,-0.027730606362464848,0.01757651740172705,-0.009925161775393052
0.08,0.0,0.4,0.21363197081163066,-0.33730837883074355,0.2405193939243277,-0.2054150267482258
0.08,0.1,0.4,0.18712502996488728,-0.26294733662843506,0.17452527860974523,-0.11902340554554332
0.08,0.2,0.4,0.20151891817692885,-0.20545976875415756,0.1015269158303595,0.01741953667234455
0.08,0.3,0.4,0.26193715242544435,-0.16128459451598967,0.014338884637790789,0.2208117255205523
0.08,0.4,0.4,0.33687889799145176,-0.12721965373161226,-0.07075664865630048,0.4342609260622605
0.08,0.5,0.4,0.36351098026616874,-0.1003044212803654,-0.11746551930926424,0.5378585922229927
0.08,0.6,0.4,0.3068853470652171,-0.07840549631844788,-0.10614493745070415,0.4658286530194148
0.08,0.7,0.4,0.20006507544130353,-0.06059000049349214,-0.05866012454994274,0.28593053961722725
0.08,0.8,0.4,0.10388210481020815,-0.04655854136324658,-0.013669489652623481,0.12018141481356177
0.08,0.9,0.4,0.04758805386522451,-0.0358556594508521,0.009893629822855913,0.027837836540752767
0.08,1.0,0.4,0.02342921395949262,-0.027759045077852724,0.01610995480592034,-0.005228483183195699
0.08,0.0,0.5,0.2147032057355186,-0.3373215759200549,0.2398593248947502,-0.20329982726845328
0.08,0.1,0.5,0.1914212826640772,-0.26299950287202306,0.17187631768186792,-0.11054228857022831
0.08,0.2,0.5,0.21417396741521777,-0.20561331327509733,0.09372549948625294,0.04239850460186161
0.08,0.3,0.5,0.2893122576546365,-0.16161665760634666,-0.0025380293647224404,0.27484738782405954
0.08,0.4,0.5,0.38037248092759435,-0.12774622952742556,-0.09757124096257311,0.5201116563217991
0.08,0.5,0.5,0.41426127950805186,-0.10091969666104675,-0.1487546864267546,0.6380342833112335
0.08,0.6,0.5,0.35037882355296673,-0.07893289572803835,-0.13295952164458733,0.551679237289955
0.08,0.7,0.5,0.22744098737124263,-0.06092204235014503,-0.0755379523249436,0.33996626238442523
0.08,0.8,0.5,0.11653713713546696,-0.04671204704675827,-0.021471729610507216,0.14516037154751935
0.08,0.9,0.5,0.05188433395391693,-0.03590781851084123,0.007244679818059065,0.03631812990229061
0.08,1.0,0.5,0.024500459359852973,-0.027772196146137112,0.015449073085646109,-0.0031141185127598267
0.08,0.0,0.6,0.21363197081163066,-0.33730837883074355,0.2405193939243277,-0.2054150267482258
0.08,0.1,0.6,0.18712502996488728,-0.26294733662843506,0.17452527860974523,-0.11902340554554332
0.08,0.2,0.6,0.20151891817692885,-0.20545976875415756,0.1015269158303595,0.01741953667234455
0.08,0.3,0.6,0.26193715242544435,-0.16128459451598967,0.014338884637790789,0.2208117255205523
0.08,0.4,0.6,0.33687889799145176,-0.12721965373161226,-0.07075664865630048,0.4342609260622605
0.08,0.5,0.6,0.36351098026616874,-0.1003044212803654,-0.11746551930926424,0.5378585922229927
0.08,0.6,0.6,0.3068853470652171,-0.07840549631844788,-0.10614493745070415,0.4658286530194148
0.08,0.7,0.6,0.20006507544130353,-0.06059000049349214,-0.05866012454994274,0.28593053961722725
0.08,0.8,0.6,0.10388210481020815,-0.04655854136324658,-0.013669489652623481,0.12018141481356177
0.08,0.9,0.6,0.04758805386522451,-0.0358556594508521,0.009893629822855913,0.027837836540752767
0.08,1.0,0.6,0.02342921395949262,-0.027759045077852724,0.01610995480592034,-0.005228483183195699
0.08,0.0,0.7,0.2112529474266036,-0.3372791236851774,0.24198593748466452,-0.21011073573764757
0.08,0.1,0.7,0.1775828596910955,-0.26283149323994753,0.1804083048784536,-0.13785792710975484
0.08,0.2,0.7,0.17341467642460304,-0.20511913632873666,0.11885464658224797,-0.03805550342520482
0.08,0.3,0.7,0.2011398871489543,-0.1605482630142835,0.05182178342730354,0.10080522513419424
0.08,0.4,0.7,0.24028610725745228,-0.12604869264040552,-0.011205613713368309,0.2435984269733178
0.08,0.5,0.7,0.2507998013605815,-0.09893808503249711,-0.04797763778873927,0.31538115997145755
0.08,0.6,0.7,0.21029252894171505,-0.07723454241084005,-0.046593913430852424,0.27516697754424924
0.08,0.7,0.7,0.13926858947605794,-0.05985365494168075,-0.02117815045599807,0.1659249233083371
0.08,0.8,0.7,0.07577702253107503,-0.046217852496673595,0.0036575076441982815,0.06470629186120265
0.08,0.9,0.7,0.03804660075681699,-0.035740657279865716,0.01577657404524326,0.009003240646793068
0.08,1.0,0.7,0.021050111515575225,-0.027730606362464848,0.017576517401727054,-0.009925161775393052
0.08,0.0,0.8,0.20907958073410274,-0.3372533931418645,0.24332631749650424,-0.2144007296789437
0.08,0.1,0.8,0.16886867201669425,-0.2627262546275085,0.18578037998469718,-0.15505883795359196
0.08,0.2,0.8,0.14774648582924843,-0.2048082859035154,0.13467891221797584,-0.08872155189731558
0.08,0.3,0.8,0.14561384165143923,-0.1598751947975601,0.08605392482671771,-0.008796114824168762
0.08,0.4,0.8,0.1520679578214706,-0.12497916535837067,0.04318241014326698,0.06946667918373141
0.08,0.5,0.8,0.14786066587152663,-0.09769084519109819,0.015485981997402587,0.11219250015963232
0.08,0.6,0.8,0.12207430044684299,-0.07616583155898347,0.007794129461252743,0.10103426015188727
0.08,0.7,0.8,0.08374256089157298,-0.059180625562385444,0.013054814557193263,0.05632359454553358
0.08,0.8,0.8,0.05010882145924808,-0.04590704809247929,0.019482585970622877,0.014041078198428557
0.08,0.9,0.8,0.02933172330653399,-0.035634570266326666,0.021148742120888308,-0.008198419481073046
0.08,1.0,0.8,0.018876806968934543,-0.027704020551545548,0.018916054764319745,-0.01421419730947308
0.08,0.0,0.9,0.20784654180670914,-0.3372379769201622,0.24408685950994866,-0.21683540211883331
0.08,0.1,0.9,0.16392008023644156,-0.26266595339276716,0.1888317526898815,-0.16482643020439888
0.08,0.2,0.9,0.13317233839668244,-0.2046311494414204,0.14366442193846055,-0.11748919558326783
0.08,0.3,0.9,0.11408648752219452,-0.15949247131000577,0.10549152399489584,-0.07102800086536723
0.08,0.4,0.9,0.10197676162471452,-0.12437240240278405,0.07406407861065836,-0.029406025893863326
0.08,0.5,0.9,0.08941164750037421,-0.09698192960193584,0.051520842146780946,-0.0031786506421334487
0.08,0.6,0.9,0.0719832106984798,-0.07555824498961967,0.0386757898162547,0.0021617010632909517
0.08,0.7,0.9,0.05221427670015825,-0.05879870808488425,0.03249251199647128,-0.005908509143913566
0.08,0.8,0.9,0.0355347014161846,-0.04572990444678545,0.028468106614188034,-0.014727389101300859
0.08,0.9,0.9,0.024383938227028328,-0.03557424779788125,0.024199201053584994,-0.017965951268189194
0.08,1.0,0.9,0.01764286536887347,-0.027689403156297573,0.019676705971944493,-0.016649911011388543
0.08,0.0,1.0,0.20736986941935973,-0.3372322622084606,0.24437992424964045,-0.21777555325394832
0.08,0.1,1.0,0.16201107802571474,-0.262643461637669,0.19000801287099556,-0.1685946304522207
0.08,0.2,1.0,0.12754868600576402,-0.20456297384682887,0.14713140361713417,-0.12858927437998108
0.08,0.3,1.0,0.10192117269227105,-0.1593456569639997,0.1129919681127884,-0.09504083904930548
0.08,0.4,1.0,0.08264918566566366,-0.12413816214997421,0.085980072628965,-0.067556646586125
0.08,0.5,1.0,0.06685903685299129,-0.09670868135742128,0.06542490444961019,-0.047695200025497105
0.08,0.6,1.0,0.05265563473942893,-0.07532400473680984,0.050591783834561324,-0.03598891962897073
0.08,0.7,1.0,0.0400490514055975,-0.05865103128767294,0.03999212438819727,-0.029921212534412902
0.08,0.8,1.0,0.029911049025266177,-0.045661728852193884,0.03193508829286167,-0.02582746789801411
0.08,0.9,1.0,0.02247412931555449,-0.03555177727648712,0.025376375007186695,-0.021734211979701757
0.08,1.0,1.0,0.01716703350833136,-0.027683744885748072,0.01997050416670295,-0.017589979291693796
0.16,0.0,0.0,0.14502292185112126,-0.2893180346654882,0.18770495528857542,-0.21094348696357934
0.16,0.1,0.0,0.11342864334771907,-0.22530395206879456,0.14590664417310864,-0.16323961942080809
0.16,0.2,0.0,0.0896414810020837,-0.17541911724622167,0.1128849909697972,-0.12432640393437815
0.16,0.3,0.0,0.07226497917079742,-0.13652798651229012,0.08650866095895526,-0.09154726435950634
0.16,0.4,0.0,0.059383357078088686,-0.10621544241777273,0.06559268718049432,-0.06461613618038797
0.16,0.5,0.0,0.048610483056492154,-0.08263458943094766,0.049728228971947896,-0.04523774657702241
0.16,0.6,0.0,0.03841329638264938,-0.06433581142593348,0.03840976857712359,-0.034035698460554015
0.16,0.7,0.0,0.02900678599807396,-0.0501379928670197,0.030435113669197485,-0.028464519167608976
0.16,0.8,0.0,0.021377646657834294,-0.03909134763152695,0.024399057773486717,-0.024778857812260368
0.16,0.9,0.0,0.015870781143961787,-0.03047285915672348,0.019447806083546473,-0.020972724325046647
0.16,1.0,0.0,0.012041761352629686,-0.02374390101917033,0.015328886346040856,-0.01701939388912145
0.16,0.0,0.1,0.14547482443263782,-0.28930163837458767,0.1874463385972395,-0.2099713842443271
0.16,0.1,0.1,0.11523886349984341,-0.22523774604497726,0.14486896111836084,-0.15934303502534508
0.16,0.2,0.1,0.09497374867059145,-0.17522563163466193,0.10982652625833818,-0.11284863925906943
0.16,0.3,0.1,0.08379999565167595,-0.13610886821958135,0.07989201516228908,-0.06671744273675839
0.16,0.4,0.1,0.07770950953761077,-0.10555038067041972,0.05508080258952518,-0.025167613043776293
0.16,0.5,0.1,0.06999459523808736,-0.08185849692082532,0.037462527199995065,0.0007933058293151099
0.16,0.6,0.1,0.056739448842171476,-0.06367074967858045,0.027897883986154455,0.005412824676057679
0.16,0.7,0.1,0.04054165468878445,-0.049719614658653065,0.023819169434953394,-0.003634931575379186
0.16,0.8,0.1,0.02670991432634204,-0.03889786201996724,0.021340593062027676,-0.013301093136951651
0.16,0.9,0.1,0.017681650855497045,-0.030406614791245942,0.018409296869383734,-0.017076039453591305
0.16,1.0,0.1,0.012492967537161979,-0.02372741436545318,0.015069741798977316,-0.01604741961340542
0.16,0.0,0.2,0.14664404783173063,-0.2892595500202024,0.18677548878692019,-0.20745384349740006
0.16,0.1,0.2,0.11993093253630374,-0.22506773930796434,0.14217714047951513,-0.14924327631859155
0.16,0.2,0.2,0.10879272776728421,-0.1747245404652555,0.10189983574129635,-0.08310231037723079
0.16,0.3,0.2,0.11369376838420295,-0.13502452017224523,0.06274484523481919,-0.0023684814405686636
0.16,0.4,0.2,0.12520521265052087,-0.10382656373186867,0.027837923629382425,0.07706888815782387
0.16,0.5,0.2,0.12541504114276525,-0.07984776403670883,0.005673731078182772,0.12008937035040099
0.16,0.6,0.2,0.10423498074612685,-0.06194760847213316,0.0006550295808625227,0.10764907786336773
0.16,0.7,0.2,0.07043627160846375,-0.04863461688979135,0.006671825800789039,0.060714392194864956
0.16,0.8,0.2,0.04052884735686661,-0.03839678177720119,0.013413887079865124,0.016445910950813325
0.16,0.9,0.2,0.022373070332546423,-0.03023664639589332,0.01571830238995296,-0.006976381222830166
0.16,1.0,0.2,0.013662989057238867,-0.023684687216182727,0.014398702816842848,-0.013528841186497656
0.16,0.0,0.3,0.14870478967228296,-0.2891842655383643,0.18559304279540578,-0.2030179525328214
0.16,0.1,0.3,0.1281937179719843,-0.2247675787176988,0.13743807205487202,-0.13145701332493684
0.16,0.2,0.3,0.1331309337508284,-0.17384115993427884,0.08794012328926083,-0.03071262530353438
0.16,0.3,0.3,0.16634275410474242,-0.1331140407504037,0.03254630974405606,0.1109615917507714
0.16,0.4,0.3,0.20885236951454475,-0.1007913476979986,-0.020141434894219587,0.25712471331922915
0.16,0.5,0.3,0.22302043624693205,-0.076305459658443,-0.05031186709514672,0.33019070850878496
0.16,0.6,0.3,0.18788226275293726,-0.05891172763279978,-0.047324368962711014,0.2877058262449894
0.16,0.7,0.3,0.12308523391021658,-0.04672407311571139,-0.023527386697545373,0.17404445140243313
0.16,0.8,0.3,0.0648670759877923,-0.03751332596734572,-0.000546486914620968,0.06883490683481147
0.16,0.9,0.3,0.030636311471301657,-0.029937198474950043,0.010979093903196312,0.010810423422225065
0.16,1.0,0.3,0.015723629173791366,-0.023610131892046374,0.01321697385287125,-0.009093859458363494
0.16,0.0,0.4,0.150960557173818,-0.28910274502877026,0.18429932030089657,-0.19816242145631538
0.16,0.1,0.4,0.13724139615436037,-0.22443941160633685,0.1322482445866734,-0.11198175703835833
0.16,0.2,0.4,0.159779001729451,-0.17287408329041104,0.07265423263935616,0.026649679970863947
0.16,0.3,0.4,0.22398981476662022,-0.1310216530518606,-0.0005199161029313636,0.23505070065898756
0.16,0.4,0.4,0.30044017643400167,-0.09746793930268366,-0.0726754712549202,0.4542735162021833
0.16,0.5,0.4,0.3298914085907737,-0.07242748777989064,-0.11161191945027527,0.5602368232370708
0.16,0.6,0.4,0.27947011573856245,-0.05558830831084441,-0.09985838985829093,0.48485395392201724
0.16,0.7,0.4,0.18073169107885168,-0.044631712832188176,-0.056592770919997155,0.2981327846287306
0.16,0.8,0.4,0.09151584036339916,-0.03654633968629445,-0.015831849708797988,0.126197340552746
0.16,0.9,0.4,0.03968348788443488,-0.02960832962090624,0.0057893910319905175,0.030285813263329395
0.16,1.0,0.4,0.01797952181811297,-0.02352794657698897,0.011923211338390497,-0.004237405161641069
0.16,0.0,0.5,0.1519762694340701,-0.2890660753352831,0.1837170086103405,-0.19597540361616503
0.16,0.1,0.5,0.14131504471789896,-0.22429164679784203,0.12991143870756228,-0.10321222391225406
0.16,0.2,0.5,0.17177830675686453,-0.17243880624042313,0.06577202836457306,0.052478477668353965
0.16,0.3,0.5,0.24994651384702435,-0.1300799373790025,-0.015408186320747481,0.29092464887940184
0.16,0.4,0.5,0.3416801887289586,-0.09597092006224603,-0.09633045902958637,0.5430450102984475
0.16,0.5,0.5,0.3780121694643438,-0.07068132857009717,-0.1392141373273996,0.6638205655995909
0.16,0.6,0.5,0.3207099568245646,-0.05409196480251051,-0.12351335307810625,0.5736252000039914
0.16,0.7,0.5,0.20668903971866673,-0.04368995881766978,-0.0714818672972282,0.35400683332513727
0.16,0.8,0.5,0.10351512197202606,-0.03611099828406811,-0.0227147309911524,0.1520261242664641
0.16,0.9,0.5,0.04375718251414164,-0.029460553885770988,0.0034526006180001277,0.03905467118350735
0.16,1.0,0.5,0.018995256725746618,-0.023491201604623015,0.011340238105383805,-0.0020510765111889356
0.16,0.0,0.6,0.150960557173818,-0.28910274502877026,0.18429932030089657,-0.19816242145631538
0.16,0.1,0.6,0.13724139615436037,-0.22443941160633685,0.1322482445866734,-0.11198175703835833
0.16,0.2,0.6,0.159779001729451,-0.17287408329041104,0.07265423263935616,0.026649679970863947
0.16,0.3,0.6,0.22398981476662022,-0.1310216530518606,-0.0005199161029313636,0.23505070065898756
0.16,0.4,0.6,0.30044017643400167,-0.09746793930268366,-0.0726754712549202,0.4542735162021833
0.16,0.5,0.6,0.3298914085907737,-0.07242748777989064,-0.11161191945027527,0.5602368232370708
0.16,0.6,0.6,0.27947011573856245,-0.05558830831084441,-0.09985838985829093,0.48485395392201724
0.16,0.7,0.6,0.18073169107885168,-0.044631712832188176,-0.056592770919997155,0.2981327846287306
0.16,0.8,0.6,0.09151584036339916,-0.03654633968629445,-0.015831849708797988,0.126197340552746
0.16,0.9,0.6,0.03968348788443488,-0.02960832962090624,0.0057893910319905175,0.030285813263329395
0.16,1.0,0.6,0.01797952181811297,-0.02352794657698897,0.011923211338390497,-0.004237405161641069
